flower,flowerLabel,scientificName,familyLabel,distributionLabel,usageLabel,colorLabel,image
http://www.wikidata.org/entity/Q111375128,Q111375128,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Adenium%20Obesum%20Flower%20Side%20Macro%20Mar22%20D72%2023052-58%20ZS%20P.jpg
http://www.wikidata.org/entity/Q3560462,Q3560462,,,,,,
http://www.wikidata.org/entity/Q11660537,Q11660537,,,,,,
http://www.wikidata.org/entity/Q4536561,Язычковые цветки,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ray-floret.svg
http://www.wikidata.org/entity/Q12569369,Q12569369,,,,,,
http://www.wikidata.org/entity/Q12981072,Q12981072,,,,,,
http://www.wikidata.org/entity/Q107542717,Q107542717,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Chamaenerion%20angustifolium%20Abuluntu.jpg
http://www.wikidata.org/entity/Q19899138,Q19899138,,,,,,
http://www.wikidata.org/entity/Q5194627,лилия,Lilium,Lilioideae,lily,,,http://commons.wikimedia.org/wiki/Special:FilePath/LiliumBulbiferumCroceumBologna.jpg
http://www.wikidata.org/entity/Q5194627,лилия,Lilium,Lilioideae,Lelie,,,http://commons.wikimedia.org/wiki/Special:FilePath/LiliumBulbiferumCroceumBologna.jpg
http://www.wikidata.org/entity/Q5194627,лилия,Lilium,Lilioideae,lilija,,,http://commons.wikimedia.org/wiki/Special:FilePath/LiliumBulbiferumCroceumBologna.jpg
http://www.wikidata.org/entity/Q5194627,лилия,Lilium,Lilioideae,llirios,,,http://commons.wikimedia.org/wiki/Special:FilePath/LiliumBulbiferumCroceumBologna.jpg
http://www.wikidata.org/entity/Q5194627,лилия,Lilium,Lilioideae,百合属,,,http://commons.wikimedia.org/wiki/Special:FilePath/LiliumBulbiferumCroceumBologna.jpg
http://www.wikidata.org/entity/Q27657775,Q27657775,,,,,,
http://www.wikidata.org/entity/Q107986694,Q107986694,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Flor%20de%20Palma%20Entre%20los%20llanos%20y%20Sierra%20Hermosa%2C%20Coahuila%20-%20panoramio.jpg
http://www.wikidata.org/entity/Q40458125,Q40458125,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ukiyoe%20calendar%20June%202010%20hokusai%20--%20yuri.jpg
http://www.wikidata.org/entity/Q109121599,жёлтый цветок,,,,,жёлтый,http://commons.wikimedia.org/wiki/Special:FilePath/Butchart%20Gardens%20%28145582500%29.jpg
http://www.wikidata.org/entity/Q109122329,пурпурный цветок,,,,,пурпурный,http://commons.wikimedia.org/wiki/Special:FilePath/Purple%20puffer%20%282257511230%29.jpg
http://www.wikidata.org/entity/Q109122719,оранжевый цветок,,,,,оранжевый,http://commons.wikimedia.org/wiki/Special:FilePath/Erysimum%20cheiri%20gold%20garden%20flowers.jpg
http://www.wikidata.org/entity/Q138498312,Q138498312,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Flower%20Water%20Apple%20Valparai%20Feb26%20A7CR%2010135.jpg
http://www.wikidata.org/entity/Q135400028,красный цветок,,,,,красный,http://commons.wikimedia.org/wiki/Special:FilePath/Red%20Carnation%20Flower.jpg
http://www.wikidata.org/entity/Q67778134,Q67778134,,,,,,
http://www.wikidata.org/entity/Q31830399,соцветие банана,,,,украшение,,http://commons.wikimedia.org/wiki/Special:FilePath/Banana%20flower%20154.jpg
http://www.wikidata.org/entity/Q122737769,Q122737769,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Karakaftja.jpg
http://www.wikidata.org/entity/Q100299128,Q100299128,,,,,,
http://www.wikidata.org/entity/Q102317584,Q102317584,,,,,,
http://www.wikidata.org/entity/Q103471017,Q103471017,,,,,,
http://www.wikidata.org/entity/Q103471272,Q103471272,,,,,,
http://www.wikidata.org/entity/Q103989647,Q103989647,,,,,,
http://www.wikidata.org/entity/Q104059304,Q104059304,,,,,,
http://www.wikidata.org/entity/Q104176117,Q104176117,,,,,,
http://www.wikidata.org/entity/Q127984205,Q127984205,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Flowers%20Closeup%20Coffee%20Robusta%20Suntikoppa%20Apr24%20A7C%2010826.jpg
http://www.wikidata.org/entity/Q3214940,хмель,,,,пивоварение,,http://commons.wikimedia.org/wiki/Special:FilePath/Cross-section%20of%20hop%20cone.svg
http://www.wikidata.org/entity/Q3214940,хмель,,,,пивоварение,,http://commons.wikimedia.org/wiki/Special:FilePath/Humulus%20Lupulus%20Hopfendolde-mit-hopfengarten.jpg
http://www.wikidata.org/entity/Q20541561,Q20541561,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ulex%20europaeus3.jpg
http://www.wikidata.org/entity/Q16730268,Q16730268,,,,,жёлтый,http://commons.wikimedia.org/wiki/Special:FilePath/Ohitashi%20of%20nanohana%202015.jpg
http://www.wikidata.org/entity/Q115630142,Q115630142,,,,,,
http://www.wikidata.org/entity/Q117304555,Q117304555,,,,,,
http://www.wikidata.org/entity/Q5194627,лилия,Lilium,Lilioideae,lily,,,http://commons.wikimedia.org/wiki/Special:FilePath/Formosa%20lily%2C%20Nagai%20Park%2C%20Osaka.jpg
http://www.wikidata.org/entity/Q5194627,лилия,Lilium,Lilioideae,Lelie,,,http://commons.wikimedia.org/wiki/Special:FilePath/Formosa%20lily%2C%20Nagai%20Park%2C%20Osaka.jpg
http://www.wikidata.org/entity/Q5194627,лилия,Lilium,Lilioideae,lilija,,,http://commons.wikimedia.org/wiki/Special:FilePath/Formosa%20lily%2C%20Nagai%20Park%2C%20Osaka.jpg
http://www.wikidata.org/entity/Q5194627,лилия,Lilium,Lilioideae,llirios,,,http://commons.wikimedia.org/wiki/Special:FilePath/Formosa%20lily%2C%20Nagai%20Park%2C%20Osaka.jpg
http://www.wikidata.org/entity/Q5194627,лилия,Lilium,Lilioideae,百合属,,,http://commons.wikimedia.org/wiki/Special:FilePath/Formosa%20lily%2C%20Nagai%20Park%2C%20Osaka.jpg
http://www.wikidata.org/entity/Q5194627,лилия,Lilium,Lilioideae,lily,,,http://commons.wikimedia.org/wiki/Special:FilePath/Lilium%20michiganense%202.jpg
http://www.wikidata.org/entity/Q5194627,лилия,Lilium,Lilioideae,Lelie,,,http://commons.wikimedia.org/wiki/Special:FilePath/Lilium%20michiganense%202.jpg
http://www.wikidata.org/entity/Q5194627,лилия,Lilium,Lilioideae,lilija,,,http://commons.wikimedia.org/wiki/Special:FilePath/Lilium%20michiganense%202.jpg
http://www.wikidata.org/entity/Q5194627,лилия,Lilium,Lilioideae,llirios,,,http://commons.wikimedia.org/wiki/Special:FilePath/Lilium%20michiganense%202.jpg
http://www.wikidata.org/entity/Q5194627,лилия,Lilium,Lilioideae,百合属,,,http://commons.wikimedia.org/wiki/Special:FilePath/Lilium%20michiganense%202.jpg
http://www.wikidata.org/entity/Q4265359,Ложноязычковые цветки,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tanacetum%20parthenium%20-%20K%C3%B6hler%E2%80%93s%20Medizinal-Pflanzen-036.jpg
http://www.wikidata.org/entity/Q31830399,соцветие банана,,,,человеческая еда,,http://commons.wikimedia.org/wiki/Special:FilePath/Banana%20flower%20154.jpg
http://www.wikidata.org/entity/Q133168699,Q133168699,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Apricot%20blossom.jpg
http://www.wikidata.org/entity/Q136339369,Q136339369,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Close-up%20Eucalyptus%20Flower%20Ooty%20Sep25%20A7CR%2007608-22%20zsp.jpg
http://www.wikidata.org/entity/Q137295560,Q137295560,,,,,,
http://www.wikidata.org/entity/Q137296434,Q137296434,,,,,,
http://www.wikidata.org/entity/Q137297026,Q137297026,,,,,,
http://www.wikidata.org/entity/Q137297131,Q137297131,,,,,,
http://www.wikidata.org/entity/Q137422361,Q137422361,,,,,,
http://www.wikidata.org/entity/Q137533818,Q137533818,,,,,,
http://www.wikidata.org/entity/Q21154545,синий цветок,,,,,синий,http://commons.wikimedia.org/wiki/Special:FilePath/Fr%C3%BChlings%20Enzian%20Gentiana%20verna%2003.JPG
